'	ID6 ID10 
(	ID14 ID15 
)	ID14 ID15 
,	ID0 ID2 ID3 ID5 ID7 ID8 ID9 ID12 ID13 ID14 ID15 
-	ID12 
.	ID0 ID1 ID2 ID3 ID4 ID5 ID6 ID7 ID8 ID9 ID10 ID11 ID12 ID13 ID14 ID15 
1.268	ID5 ID13 
1.500	ID14 ID15 
10	ID15 
2004	ID7 ID9 
28/4	ID14 
3	ID7 ID8 ID9 ID15 
3,5	ID14 ID15 
300	ID7 ID8 ID9 
4	ID6 
6	ID5 ID13 
9	ID10 
album	ID0 ID3 
ao	ID1 
asia	ID6 ID10 
ba	ID8 
bao	ID0 ID3 
biết_bao_nhiêu	ID0 
bmw	ID7 ID9 
bt	ID14 
buồn_vui	ID0 ID3 
bình_dân	ID7 ID9 
bảng	ID10 
bầu_trời	ID0 ID2 ID3 
bổ_sung	ID12 
c-class	ID7 ID9 
cao_cấp	ID7 ID9 
chevrolet_spark	ID8 
chiếc	ID2 
cho	ID12 
chuyến	ID4 ID11 
chuyển_giao	ID14 
chính_trị	ID5 ID13 
chú_ý	ID8 
chỉ	ID15 
chục	ID12 
cuối_cùng	ID2 
cuộc_thi	ID6 
càng	ID12 
cành	ID2 
các	ID4 ID6 ID7 ID9 ID11 ID12 
cây	ID2 
còn	ID15 
có	ID2 ID7 ID9 ID12 
cô	ID10 
căng_thẳng	ID5 ID13 
cắp	ID0 
của	ID4 ID11 ID12 
di_chuyển	ID15 
do	ID5 ID13 
doanh_nghiệp	ID4 ID11 ID12 
dài	ID14 ID15 
dòng	ID7 ID9 
dẫn_đầu	ID6 ID10 
giá	ID5 ID7 ID8 ID9 ID13 
gió	ID2 
giúp	ID10 ID15 
giảm	ID5 ID13 
gần	ID5 ID13 ID14 
hai	ID12 
hoàn_thành	ID6 
hoàng_mai	ID15 
hyundai_grand	ID8 
hà_nội	ID14 
hà_đông	ID15 
hàng	ID12 
hình	ID10 
hình_thức	ID14 
hôm_nay	ID0 ID3 
hôm_qua	ID5 ID13 
